iter	Passed	Remaining
612	22048	49888
613	22090	49866
614	22134	49848
615	22173	49818
616	22208	49779
617	22243	49741
618	22278	49703
619	22315	49669
620	22352	49635
621	22388	49599
622	22427	49570
623	22462	49532
624	22495	49490
625	22530	49451
626	22565	49414
627	22605	49387
628	22641	49350
629	22673	49305
630	22707	49264
631	22741	49224
632	22775	49185
633	22821	49170
634	22861	49143
635	22898	49109
636	22938	49081
637	22973	49042
638	23012	49013
639	23056	48995
640	23106	48988
641	23154	48977
642	23199	48960
643	23246	48947
644	23292	48931
645	23325	48889
646	23360	48851
647	23392	48807
648	23426	48766
649	23461	48727
650	23498	48692
651	23540	48670
652	23583	48648
653	23621	48615
654	23663	48590
655	23699	48554
656	23751	48551
657	23798	48538
658	23845	48523
659	23885	48494
660	23930	48476
661	23963	48434
662	24009	48417
663	24051	48392
664	24084	48350
665	24114	48302
666	24147	48258
667	24180	48215
668	24210	48168
669	24254	48146
670	24289	48109
671	24331	48084
672	24379	48070
673	24419	48042
674	24465	48024
675	24510	48004
676	24553	47981
677	24626	48018
678	24673	48002
679	24711	47969
680	24760	47957
681	24796	47920
682	24852	47921
683	24902	47912
684	24940	47877
685	25015	47916
686	25057	47889
687	25114	47892
688	25161	47876
689	25200	47845
690	25240	47814
691	25283	47791
692	25321	47756
693	25369	47741
694	25416	47723
695	25453	47687
696	25484	47641
697	25520	47603
698	25565	47583
699	25625	47589
700	25668	47566
701	25725	47566
702	25765	47536
703	25810	47514
704	25853	47489
705	25912	47493
706	25968	47491
707	26016	47476
708	26075	47480
709	26147	47508
710	26194	47489
711	26244	47475
712	26298	47469
713	26355	47470
714	26406	47458
715	26466	47462
716	26535	47483
717	26606	47507
718	26664	47506
719	26720	47503
720	26768	47484
721	26807	47451
722	26850	47424
723	26897	47405
724	26932	47364
725	26980	47345
726	27019	47312
727	27061	47282
728	27099	47247
729	27137	47211
730	27177	47178
731	27216	47145
732	27258	47117
733	27298	47084
734	27337	47049
735	27390	47040
736	27433	47013
737	27490	47010
738	27546	47003
739	27601	46996
